"","location","cause","year","val","state","code","Number"
"1","Alabama","Amphetamine use disorders",1990,0.00259793897915,1,"AL",0.0428894998084444
"2","Alabama","Amphetamine use disorders",1991,0.00258182992702,1,"AL",0.0428894998084444
"3","Alabama","Amphetamine use disorders",1992,0.00256829621285,1,"AL",0.0428894998084444
"4","Alabama","Amphetamine use disorders",1993,0.00255322715848,1,"AL",0.0428894998084444
"5","Alabama","Amphetamine use disorders",1994,0.002534601784,1,"AL",0.0428894998084444
"6","Alabama","Amphetamine use disorders",1995,0.00251421868738,1,"AL",0.0428894998084444
"7","Alabama","Amphetamine use disorders",1996,0.00251521904212,1,"AL",0.0428894998084444
"8","Alabama","Amphetamine use disorders",1997,0.00251035747671,1,"AL",0.0428894998084444
"9","Alabama","Amphetamine use disorders",1998,0.00251240356539,1,"AL",0.0428894998084444
"10","Alabama","Amphetamine use disorders",1999,0.0025079221755,1,"AL",0.0428894998084444
"11","Alabama","Amphetamine use disorders",2000,0.00250693118653,1,"AL",0.0428894998084444
"12","Alabama","Amphetamine use disorders",2001,0.0024889240436,1,"AL",0.0428894998084444
"13","Alabama","Amphetamine use disorders",2002,0.00247246791999,1,"AL",0.0428894998084444
"14","Alabama","Amphetamine use disorders",2003,0.00246201008422,1,"AL",0.0428894998084444
"15","Alabama","Amphetamine use disorders",2004,0.00244962627941,1,"AL",0.0428894998084444
"16","Alabama","Amphetamine use disorders",2005,0.00244045567827,1,"AL",0.0428894998084444
"17","Alabama","Amphetamine use disorders",2006,0.00243455827597,1,"AL",0.0428894998084444
"18","Alabama","Amphetamine use disorders",2007,0.00242689678955,1,"AL",0.0428894998084444
"19","Alabama","Amphetamine use disorders",2008,0.00241979572249,1,"AL",0.0428894998084444
"20","Alabama","Amphetamine use disorders",2009,0.00241369680472,1,"AL",0.0428894998084444
"21","Alabama","Amphetamine use disorders",2010,0.00240595982257,1,"AL",0.0428894998084444
"22","Alabama","Amphetamine use disorders",2011,0.00240743847337,1,"AL",0.0428894998084444
"23","Alabama","Amphetamine use disorders",2012,0.00241029069533,1,"AL",0.0428894998084444
"24","Alabama","Amphetamine use disorders",2013,0.00241443401782,1,"AL",0.0428894998084444
"25","Alabama","Amphetamine use disorders",2014,0.00241700127265,1,"AL",0.0428894998084444
"26","Alabama","Amphetamine use disorders",2015,0.00241812288521,1,"AL",0.0428894998084444
"27","Alabama","Amphetamine use disorders",2016,0.00241920309874,1,"AL",0.0428894998084444
"28","Alabama","Opioid use disorders",1990,0.0139113425307,1,"AL",0.0428894998084444
"29","Alabama","Opioid use disorders",1991,0.0138147083901,1,"AL",0.0428894998084444
"30","Alabama","Opioid use disorders",1992,0.0137099247823,1,"AL",0.0428894998084444
"31","Alabama","Opioid use disorders",1993,0.0135864637312,1,"AL",0.0428894998084444
"32","Alabama","Opioid use disorders",1994,0.013450215297,1,"AL",0.0428894998084444
"33","Alabama","Opioid use disorders",1995,0.0132982916268,1,"AL",0.0428894998084444
"34","Alabama","Opioid use disorders",1996,0.0130734476922,1,"AL",0.0428894998084444
"35","Alabama","Opioid use disorders",1997,0.0128393200117,1,"AL",0.0428894998084444
"36","Alabama","Opioid use disorders",1998,0.0126714907415,1,"AL",0.0428894998084444
"37","Alabama","Opioid use disorders",1999,0.0124946767997,1,"AL",0.0428894998084444
"38","Alabama","Opioid use disorders",2000,0.0123566706846,1,"AL",0.0428894998084444
"39","Alabama","Opioid use disorders",2001,0.0123066076108,1,"AL",0.0428894998084444
"40","Alabama","Opioid use disorders",2002,0.0122645143947,1,"AL",0.0428894998084444
"41","Alabama","Opioid use disorders",2003,0.012256984606,1,"AL",0.0428894998084444
"42","Alabama","Opioid use disorders",2004,0.0122328638463,1,"AL",0.0428894998084444
"43","Alabama","Opioid use disorders",2005,0.0122263687351,1,"AL",0.0428894998084444
"44","Alabama","Opioid use disorders",2006,0.012325968844,1,"AL",0.0428894998084444
"45","Alabama","Opioid use disorders",2007,0.0124134007017,1,"AL",0.0428894998084444
"46","Alabama","Opioid use disorders",2008,0.0125065586898,1,"AL",0.0428894998084444
"47","Alabama","Opioid use disorders",2009,0.012617759334,1,"AL",0.0428894998084444
"48","Alabama","Opioid use disorders",2010,0.0127367811796,1,"AL",0.0428894998084444
"49","Alabama","Opioid use disorders",2011,0.0128882658941,1,"AL",0.0428894998084444
"50","Alabama","Opioid use disorders",2012,0.0130482408119,1,"AL",0.0428894998084444
"51","Alabama","Opioid use disorders",2013,0.0132044384971,1,"AL",0.0428894998084444
"52","Alabama","Opioid use disorders",2014,0.0133599269283,1,"AL",0.0428894998084444
"53","Alabama","Opioid use disorders",2015,0.0135071253745,1,"AL",0.0428894998084444
"54","Alabama","Opioid use disorders",2016,0.0136538645402,1,"AL",0.0428894998084444
"55","Alaska","Amphetamine use disorders",1990,0.00130575475579,2,"AK",0.067777625179031
"56","Alaska","Amphetamine use disorders",1991,0.00130410427172,2,"AK",0.067777625179031
"57","Alaska","Amphetamine use disorders",1992,0.00131542303955,2,"AK",0.067777625179031
"58","Alaska","Amphetamine use disorders",1993,0.00132047896879,2,"AK",0.067777625179031
"59","Alaska","Amphetamine use disorders",1994,0.0013242356945,2,"AK",0.067777625179031
"60","Alaska","Amphetamine use disorders",1995,0.00132902366773,2,"AK",0.067777625179031
"61","Alaska","Amphetamine use disorders",1996,0.00140017303621,2,"AK",0.067777625179031
"62","Alaska","Amphetamine use disorders",1997,0.00147460262858,2,"AK",0.067777625179031
"63","Alaska","Amphetamine use disorders",1998,0.00155924656574,2,"AK",0.067777625179031
"64","Alaska","Amphetamine use disorders",1999,0.00165912967746,2,"AK",0.067777625179031
"65","Alaska","Amphetamine use disorders",2000,0.00176443460403,2,"AK",0.067777625179031
"66","Alaska","Amphetamine use disorders",2001,0.00174076379827,2,"AK",0.067777625179031
"67","Alaska","Amphetamine use disorders",2002,0.00171856937679,2,"AK",0.067777625179031
"68","Alaska","Amphetamine use disorders",2003,0.00169611482005,2,"AK",0.067777625179031
"69","Alaska","Amphetamine use disorders",2004,0.00167979996252,2,"AK",0.067777625179031
"70","Alaska","Amphetamine use disorders",2005,0.0016646601144,2,"AK",0.067777625179031
"71","Alaska","Amphetamine use disorders",2006,0.00165893813861,2,"AK",0.067777625179031
"72","Alaska","Amphetamine use disorders",2007,0.00165081554357,2,"AK",0.067777625179031
"73","Alaska","Amphetamine use disorders",2008,0.00164310216518,2,"AK",0.067777625179031
"74","Alaska","Amphetamine use disorders",2009,0.00161446567669,2,"AK",0.067777625179031
